name,price,capacity_w,capacity_va
APC SURT20KRMXLT,17175,16000,20000
CyberPower CP1500PFCLCD,219.95,1000,1500
APC SRT10KXLT,8199,10000,10000
APC SRT10KRMXLT,7550.5,10000,10000
APC Back-UPS 1500,157,900,1500
CyberPower CP1500AVRLCD,189.95,900,1500
APC SRT10KXLI,,10000,10000
APC SRT10KRMXLI,14500,10000,10000
APC Back-UPS Pro 1500S,269.99,900,1500
APC SURTA3000XL,514,2100,3000
CyberPower CP1000PFCLCD,164.95,600,1000
CyberPower CP1500AVRLCD3,189.95,900,1500
CyberPower PR2200LCDSL,855.95,1980,2070
CyberPower ST425,53.95,260,425
CyberPower CP550SLG,69.95,330,550
APC Back-UPS Pro 1500VA,207.99,900,1500
APC Back-UPS Pro 1500,245.49,865,1500
CyberPower PR3000LCD,1319.95,2700,3000
APC Back-UPS Pro 1500VA for Gaming,379.23,900,1500
CyberPower EC850LCD,109.95,510,850
CyberPower OR2200PFCRT2U,669.95,1320,2000
CyberPower PR2200LCD,1029.95,1980,2200
APC SMT2200I,,1980,2200
CyberPower AVRG750U,109.95,450,750
APC Back-UPS Pro 1000S,175,600,1000
APC Back-UPS Pro 700VA,152.99,420,700
CyberPower CP1500EPFCLCD,,900,1500
CyberPower OR2200LCDRT2U,604.95,1320,2000
CyberPower OR2200LCDRTXL2U,822.95,1650,2190
CyberPower PR1500LCD,545.95,1050,1500
PowerWalker Basic VI 2200 STL UK,,1320,2200
APC Back-UPS 1000,169.99,600,1000
APC BE600M1,79,330,600
CyberPower CP1200AVR,152.95,720,1200
APC BE670M1,89.99,360,675
APC SRT6KRMXLI,12258,6000,6000
CyberPower CP1350PFCLCD,199.95,810,1350
Tripp Lite SMX1500LCDT,286.32,900,1500
CyberPower CP1350AVRLCD,189.99,810,1350
APC SMX3000HVNC,3244.16,2700,3000
APC SRT5KXLI,6356,4500,5000
APC SRT8KRMXLI,,8000,8000
CyberPower PR3000LCDSL,1173.95,2700,3000
CyberPower CP1300EPFCLCD,,780,1300
APC Back-UPS Pro 1500VA for Gaming,,900,1500
CyberPower EC650LCD,87.95,390,650
CyberPower EC750G,98.95,450,750
APC BN1100M2,349.99,600,1100
APC Easy UPS BV1000I-MS 230V,,600,1000
APC SRT6KXLT,5999.99,6000,6000
CyberPower CP850PFCLCD,154.95,510,850
APC SMT3000I,2150,2700,3000
APC Back-UPS 850,149.99,510,850
APC BR1500GI,565.92,865,1500
Lenovo 55943AX,1615.83,2700,3000
APC SMT1500I,,980,1500
CyberPower OL8000RT3U,3906.06,7200,8000
Tripp Lite SMART1500LCDT,240.29,900,1500
APC Back-UPS Pro 1350S,229.99,810,1350
CyberPower LE1000DG,129.99,530,1000
APC BE850G2,116.35,450,850
APC Back-UPS Pro 1350VA,182.99,810,1350
Tripp Lite SMART1500PSGLCD,325.83,900,1500
APC BK350EI,189.99,210,350
APC SRT5KXLT,4390,4250,5000
CyberPower CP900AVR,138.95,560,900
APC SMX1500RMI2U,1444.99,1200,1500
Tripp Lite OMNIVSINT1500XL,365.67,940,1500
APC BE550G,96.86,330,550
APC SMX3000RMHV2UNC,3329,2700,3000
APC SMT3000,2150,2700,3000
APC BX600CI-IN,,360,600
Tripp Lite SMART3000RMXL2U,1350.29,2880,3000
CyberPower AVRG900U,109.95,480,900
APC SMC1500I,813.49,900,1500
HP AF450A,195,950,1400
APC Back-UPS 1350,189.99,810,1350
Tripp Lite SMART2200NET,1084.99,1700,2200
Tripp Lite SU2200XLCD,1316.94,1800,2200
CyberPower EC550G,73.95,330,550
CyberPower OL1500RTXL2U,1149.95,1350,1500
APC SRT8KXLI,7275,8000,8000
CyberPower BRG1000AVRLCD,162.94,600,1000
CyberPower CP1500AVRT,194.95,900,1500
Tripp Lite BC350,63.83,180,350
Tripp Lite INTERNET550SER,88.99,300,550
Tripp Lite SMART1500RM2U,757.24,1350,1500
CyberPower CP900EPFCLCD,,540,900
Tripp Lite SMX3000XLRT2UA,1226.32,2700,3000
CyberPower CP1000AVRLCD,159.94,600,1000
APC BR1000G,229,600,1000
CyberPower CP1500PFCLCDTAA,277.95,900,1500
APC BR500CI-AS,99.1,300,500
APC SRT5KRMXLT,5451.97,4250,5000
Tripp Lite SMT1500LCDT,257.99,900,1500
APC SMX2000LV,1520.6,1800,1920
CyberPower CP350SLG,54.95,255,350
Tripp Lite SMART1500RMXL2UA,807.2,1350,1500
CyberPower OR1500LCDRTXL2U,629.95,1125,1500
CyberPower GX1500U,222.99,900,1500
APC BN650M1,100,360,650
APC SMT2200,1499.99,1980,2200
Tripp Lite SMART1500LCD,307.99,900,1500
APC BE750BB,149.99,450,750
APC SMT3000R2X145,1975,2700,3000
APC SMX2000LVNC,1655.99,1800,1920
Tripp Lite SMART1300LCDT,171.32,720,1300
Tripp Lite SU12000RT4U,11813.44,8400,12000
CyberPower OR500LCDRM1U,199.95,300,500
APC BN1080G,463.44,650,1080
APC SMT1500RMI1U,1259.64,1000,1500
APC SMT1500US,,1000,1440
APC SMT1500X413,771.68,980,1500
APC SMX1500RMI2UNC,1760.8,1200,1500
APC SUA5000RMI5U,8475,4000,5000
Tripp Lite SMART1200LCD,346.78,700,1200
Tripp Lite SU1500RTXLCD2U,1035.49,1350,1500
APC BK350,119.99,210,350
HP AF461A,2945,4500,5000
CyberPower LX1500GU-FC,,900,1500
CyberPower CST1500S,,900,1500
APC Back-UPS Pro 1375VA,,810,1375
APC SMX2200RMLV2U,1600,1980,2200
Tripp Lite AVR900U,132.99,480,900
APC BE325-GR,288,185,325
APC SMT2200US,1469.97,1980,2200
APC SRT8KRMXLT,5999,8000,8000
APC BR550GI,,330,550
APC SMC1500,595.99,900,1500
APC SMX2000RMLV2UNC,2110.65,1800,1920
