name,price,speed,modules,price_per_gb,color,first_word_latency,cas_latency
Corsair Vengeance LPX 16 GB,38.99,"4,3200","2,8",2.437,Black / Yellow,10,16
Corsair Vengeance 32 GB,113.99,"5,5600","2,16",3.562,Black,12.857,36
G.Skill Trident Z5 RGB 32 GB,117.99,"5,6000","2,16",3.687,Black,12,36
Corsair Vengeance 32 GB,114.99,"5,6000","2,16",3.593,Black / Gray,10,30
Corsair Vengeance RGB Pro 32 GB,94.99,"4,3600","2,16",2.968,Black,10,18
G.Skill Trident Z5 RGB 64 GB,217.99,"5,6400","2,32",3.406,Black / Silver,10,32
Corsair Vengeance LPX 32 GB,69.98,"4,3600","2,16",2.187,Black / Yellow,10,18
Corsair Vengeance RGB 32 GB,127.99,"5,6000","2,16",4,White,12,36
TEAMGROUP T-Force Delta RGB 32 GB,106.99,"5,6000","2,16",3.343,White,10,30
TEAMGROUP T-Force Delta RGB 32 GB,106.99,"5,6000","2,16",3.343,Black,10,30
Corsair Vengeance RGB Pro 16 GB,55.99,"4,3200","2,8",3.499,Black,10,16
Corsair Vengeance 16 GB,74.98,"5,5200","2,8",4.686,Black,15.385,40
G.Skill Flare X5 32 GB,102.99,"5,6000","2,16",3.218,Black,12,36
G.Skill Trident Z5 Neo RGB 32 GB,112.99,"5,6000","2,16",3.531,Black,10,30
Silicon Power GAMING 16 GB,32.97,"4,3200","2,8",2.061,Black / Gray,10,16
Corsair Vengeance 64 GB,159.99,"5,5200","2,32",2.5,Black,15.385,40
G.Skill Ripjaws V 16 GB,3914.75,"4,4800","2,8",244.672,Black,7.083,17
G.Skill Flare X5 32 GB,104.99,"5,6000","2,16",3.281,Black,10,30
TEAMGROUP T-Create Expert 32 GB,97.99,"5,6000","2,16",3.062,Black,10,30
G.Skill Ripjaws V 16 GB,37,"4,3200","2,8",2.312,Black,10,16
TEAMGROUP T-Force Vulcan Z 16 GB,32.99,"4,3200","2,8",2.062,Black,10,16
Corsair Vengeance RGB 32 GB,134.99,"5,6000","2,16",4.218,Black,13.333,40
Corsair Vengeance RGB 32 GB,109.99,"5,6000","2,16",3.437,Black,12,36
Corsair Vengeance LPX 16 GB,49.99,"4,3600","2,8",3.124,Black,10,18
G.Skill Ripjaws V 32 GB,66.98,"4,3200","2,16",2.093,Black,10,16
Corsair Dominator Titanium 64 GB,309.99,"5,6600","2,32",4.844,White,9.697,32
G.Skill Flare X5 32 GB,96.99,"5,6000","2,16",3.031,Black,10.667,32
Corsair Vengeance LPX 32 GB,66.98,"4,3200","2,16",2.093,Black / Yellow,10,16
Corsair Vengeance 32 GB,94.99,"5,5200","2,16",2.968,Black,15.385,40
G.Skill Ripjaws S5 32 GB,109.99,"5,6000","2,16",3.437,Black,10,30
Corsair Vengeance RGB 64 GB,224.99,"5,6000","2,32",3.515,Black,10,30
TEAMGROUP T-Force Vulcan Z 32 GB,57.99,"4,3600","2,16",1.812,Black,10,18
Corsair Vengeance RGB Pro SL 32 GB,82.99,"4,3600","2,16",2.593,White / Black,10,18
Kingston FURY Beast RGB 16 GB,,"5,6000","2,8",,Black,12,36
TEAMGROUP T-Force Vulcan Z 32 GB,52.75,"4,3200","2,16",1.648,Gray,10,16
Silicon Power Value Gaming 32 GB,94.97,"5,6000","2,16",2.968,Black,10,30
Silicon Power GAMING 32 GB,51.49,"4,3200","2,16",1.609,Black,10,16
G.Skill Trident Z5 Neo 64 GB,209.99,"5,6000","2,32",3.281,Black / Silver,10,30
Corsair Vengeance RGB 32 GB,124.99,"5,6000","2,16",3.906,Gray,10,30
Kingston FURY Beast 16 GB,49.19,"4,3200","2,8",3.074,Black,10,16
G.Skill Trident Z5 RGB 32 GB,132.99,"5,7200","2,16",4.156,Black,9.444,34
Corsair Vengeance LPX 64 GB,129.99,"4,3200","2,32",2.031,Black / Yellow,10,16
TEAMGROUP T-Force Delta RGB 32 GB,69.98,"4,3600","2,16",2.187,White,10,18
Kingston FURY Beast 32 GB,119.99,"5,6000","2,16",3.75,Black,12,36
Corsair Vengeance RGB Pro 16 GB,62.99,"4,3200","2,8",3.937,White,10,16
G.Skill Trident Z5 RGB 32 GB,109.99,"5,6400","2,16",3.437,Black,10,32
Corsair Dominator Titanium 64 GB,309.99,"5,6600","2,32",4.844,Black,9.697,32
Corsair Vengeance RGB 128 GB,459.99,"5,5600","4,32",3.594,Black,14.286,40
G.Skill Trident Z RGB 32 GB,84.99,"4,3200","2,16",2.656,Black,10,16
G.Skill Trident Z5 RGB 32 GB,109.99,"5,6400","2,16",3.437,White / Black,10,32
Corsair Vengeance 64 GB,219.99,"5,6400","2,32",3.437,Black / Gray,10,32
Corsair Vengeance 32 GB,104.99,"5,6000","2,16",3.281,Black,12,36
TEAMGROUP T-Force Delta RGB 16 GB,47.99,"4,3600","2,8",2.999,Black,10,18
TEAMGROUP T-Force Vulcan 32 GB,102.99,"5,6000","2,16",3.218,Black,10,30
G.Skill Ripjaws V 16 GB,43.99,"4,3600","2,8",2.749,Black,8.889,16
G.Skill Trident Z5 RGB 48 GB,399.99,"5,8400","2,24",8.333,Black,9.524,40
Corsair Vengeance RGB 32 GB,109.99,"5,5200","2,16",3.437,White,15.385,40
TEAMGROUP T-Force Delta RGB 16 GB,47.99,"4,3600","2,8",2.999,White,10,18
G.Skill Flare X5 64 GB,199.99,"5,6000","2,32",3.125,Black,10,30
Corsair Vengeance RGB 64 GB,229.99,"5,6000","2,32",3.594,White / Silver,10,30
Silicon Power SP016GBLFU320B22 16 GB,29.97,"4,3200","2,8",1.873,,13.75,22
Kingston FURY Beast 16 GB,71.98,"5,6000","2,8",4.499,Black,13.333,40
Silicon Power SP032GBLVU560FD2AD 32 GB,75.97,"5,5600","2,16",2.374,Black,16.429,46
TEAMGROUP T-Create Classic 32 GB,83.99,"5,5600","2,16",2.625,Black,16.429,46
G.Skill Ripjaws V 32 GB,79.98,"4,3600","2,16",2.499,Black,8.889,16
Kingston FURY Beast RGB 32 GB,127.99,"5,6000","2,16",4,Black,12,36
G.Skill Trident Z 32 GB,754.94,"5,6000","2,16",23.592,White / Black,13.333,40
TEAMGROUP T-Create Expert 32 GB,97.99,"5,6000","2,16",3.062,White,10,30
Corsair Vengeance 32 GB,114.99,"5,6000","2,16",3.593,Black,12,36
Crucial Pro 32 GB,59.99,"4,3200","2,16",1.875,Black,13.75,22
G.Skill Trident Z RGB 16 GB,55.98,"4,3600","2,8",3.499,Black,10,18
Kingston FURY Beast 32 GB,74.98,"4,3200","2,16",2.343,Black,10,16
TEAMGROUP T-Force Delta RGB 32 GB,69.98,"4,3600","2,16",2.187,Black,10,18
Corsair Dominator Platinum RGB 32 GB,174.99,"5,6200","2,16",5.468,White,11.613,36
Crucial CT2K8G48C40U5 16 GB,54.99,"5,4800","2,8",3.437,Black,16.667,40
TEAMGROUP T-Create Expert 32 GB,94.99,"5,6400","2,16",2.968,Black,10,32
G.Skill Ripjaws S5 32 GB,98.99,"5,6000","2,16",3.093,Black,12,36
Crucial Pro Overclocking 32 GB,104.99,"5,6000","2,16",3.281,Black,12,36
G.Skill Trident Z5 Neo RGB 64 GB,214.99,"5,6000","2,32",3.359,Black / Silver,10,30
Crucial Pro 64 GB,159.19,"5,5600","2,32",2.487,Black,16.429,46
Corsair Vengeance RGB 192 GB,659.99,"5,5200","4,48",3.437,Black,14.615,38
Corsair Vengeance 32 GB,117.99,"5,6400","2,16",3.687,Black,10,32
TEAMGROUP T-Force Vulcan 32 GB,91.99,"5,6000","2,16",2.875,Black,12.667,38
ADATA XPG Lancer Blade 32 GB,112.99,"5,6000","2,16",3.531,Black,10,30
Lexar THOR OC 32 GB,104.99,"5,6000","2,16",3.281,Black / Gold,10.667,32
Silicon Power XPOWER Zenith Gaming 32 GB,86.99,"5,6000","2,16",2.718,White,10,30
Patriot Viper Venom 16 GB,61.99,"5,5200","2,8",3.874,Black / White,13.846,36
Corsair Vengeance 64 GB,217.99,"5,6000","2,32",3.406,Black / Gray,10,30
TEAMGROUP Vulcan Z 16 GB,37.99,"4,3600","2,8",2.374,Black,10,18
Corsair Vengeance RGB Pro 256 GB,1658.29,"4,3000","8,32",6.478,Black,10.667,16
Corsair Vengeance RGB 32 GB,124.99,"5,6400","2,16",3.906,Black / Gray,10,32
Corsair Vengeance 128 GB,429.99,"5,5600","4,32",3.359,Black,14.286,40
Corsair Vengeance RGB Pro 32 GB,89.99,"4,3200","2,16",2.812,Black,10,16
Corsair Vengeance LPX 32 GB,,"4,3866","4,8",,,9.312,18
Corsair Dominator Titanium 32 GB,167.99,"5,6000","2,16",5.25,White,10,30
G.Skill Trident Z5 RGB 96 GB,399.99,"5,6800","2,48",4.167,Black,10,34
Crucial CT25664AA667 2 GB,11,"2,667","1,2",5.5,Green,14.993,5
Silicon Power XPOWER Turbine 16 GB,32.97,"4,3200","2,8",2.061,Blue,10,16
Corsair Vengeance LPX 8 GB,24.99,"4,2400","1,8",3.124,Black / Yellow,13.333,16
Crucial Pro 32 GB,103.87,"5,5600","2,16",3.246,Black,16.429,46
G.Skill Trident Z5 RGB 64 GB,217.99,"5,6400","2,32",3.406,White / Black,10,32
Corsair Dominator Titanium 96 GB,429.99,"5,6600","2,48",4.479,Black,9.697,32
TEAMGROUP Elite 16 GB,,"5,5200","2,8",,Black,16.154,42
Kingston FURY Beast 8 GB,23.98,"4,3200","1,8",2.998,Black,10,16
Corsair Vengeance LPX 16 GB,44.99,"4,3200","2,8",2.812,Black,10,16
G.Skill Trident Z Neo 32 GB,89.99,"4,3600","2,16",2.812,Black / Silver,8.889,16
TEAMGROUP T-Force Delta RGB 32 GB,99.99,"5,6400","2,16",3.125,Black,12.5,40
G.Skill Ripjaws S5 32 GB,109.99,"5,6000","2,16",3.437,White,10,30
G.Skill Ripjaws S5 32 GB,105.99,"5,5600","2,16",3.312,Black,10,28
TEAMGROUP T-Force Delta RGB 32 GB,104.99,"5,6000","2,16",3.281,White,12.667,38
G.Skill Ripjaws S5 64 GB,197.99,"5,6000","2,32",3.094,Black,10,30
Crucial CT16G48C40U5 16 GB,44,"5,4800","1,16",2.75,Black,16.667,40
G.Skill Aegis 16 GB,42.68,"4,3200","2,8",2.667,Red / Black,10,16
Lexar Ares RGB 32 GB,114.99,"5,6400","2,16",3.593,Black / Silver,10,32
Corsair Vengeance 64 GB,247.99,"5,6800","2,32",3.875,Black / Gray,9.412,32
TEAMGROUP T-Create Classic 32 GB,87.99,"5,6000","2,16",2.75,Black,16,48
TEAMGROUP T-Force Delta RGB 32 GB,99.99,"5,6400","2,16",3.125,White,12.5,40
G.Skill Trident Z RGB 64 GB,139.99,"4,3600","2,32",2.187,Black,10,18
G.Skill Trident Z Neo 256 GB,584.99,"4,3200","8,32",2.285,Black / Silver,10,16
Kingston HyperX Fury 16 GB,,"4,3200","2,8",,Black / Silver,10,16
Corsair Vengeance RGB Pro 32 GB,92.99,"4,3200","2,16",2.906,White,10,16
Corsair Dominator Platinum RGB 32 GB,174.99,"5,6200","2,16",5.468,Black,11.613,36
G.Skill Ripjaws V 64 GB,3772.97,"4,3400","4,16",58.953,Black,9.412,16
Corsair Dominator Titanium 96 GB,429.99,"5,6600","2,48",4.479,White,9.697,32
Corsair Vengeance LPX 16 GB,45.99,"4,3200","2,8",2.874,White,10,16
G.Skill Trident Z5 Neo 32 GB,116.99,"5,6000","2,16",3.656,Black,10,30
Corsair Vengeance 16 GB,77.98,"3,1600","2,8",4.874,Black / Yellow,11.25,9
G.Skill Trident Z5 RGB 64 GB,259.99,"5,6800","2,32",4.062,Black,10,34
Kingston FURY Beast 16 GB,75.99,"5,6000","2,8",4.749,Black / Silver,12,36
Kingston FURY 128 GB,457.99,"5,5600","4,32",3.578,White,14.286,40
Corsair Vengeance 96 GB,345.99,"5,6400","2,48",3.604,Black,10,32
TEAMGROUP Elite 32 GB,52.99,"4,3200","2,16",1.656,Black,13.75,22
Kingston FURY Beast 16 GB,79.45,"5,5600","2,8",4.966,Black / Silver,12.857,36
Patriot Viper Venom 32 GB,103.99,"5,6400","2,16",3.25,Black / White,10,32
Corsair Vengeance RGB 32 GB,112.99,"5,6400","2,16",3.531,Black,11.25,36
Corsair Vengeance 32 GB,97.99,"5,4800","2,16",3.062,Black,16.667,40
Corsair Vengeance RGB 32 GB,109.99,"5,5200","2,16",3.437,Black,15.385,40
Silicon Power XPOWER Turbine 32 GB,51.49,"4,3200","2,16",1.609,Blue,10,16
Corsair Vengeance RGB Pro 16 GB,52.99,"4,3600","2,8",3.312,Black,10,18
G.Skill Ripjaws V 32 GB,67.99,"4,3600","2,16",2.125,Black,10,18
G.Skill Ripjaws S5 32 GB,109.99,"5,6400","2,16",3.437,Black,10,32
G.Skill Ripjaws S5 64 GB,194.99,"5,5600","2,32",3.047,Black,10,28
TEAMGROUP T-Force Delta RGB 64 GB,184.99,"5,6000","2,32",2.89,White / Silver,12.667,38
G.Skill Trident Z5 RGB 48 GB,399.99,"5,8400","2,24",8.333,White,9.524,40
Corsair Dominator Titanium 64 GB,359.99,"5,6400","4,16",5.625,White,10,32
ADATA XPG Lancer Blade RGB 32 GB,148.03,"5,6400","2,16",4.626,Black,10,32
Corsair Vengeance RGB 64 GB,227.99,"5,6400","2,32",3.562,Black / Gray,10,32
G.Skill Trident Z5 Neo RGB 32 GB,124.99,"5,6000","2,16",3.906,Silver / Black,10,30
TEAMGROUP T-Force Vulcan Z 16 GB,34.99,"4,3200","2,8",2.187,Gray,10,16
Crucial Classic 16 GB,55.99,"5,5600","2,8",3.499,Black,16.429,46
G.Skill Ripjaws V 32 GB,74.99,"4,4000","2,16",2.343,Black,9,18
