name,price,protocol,interface,color
Gigabyte GC-WBAX210,39.99,Wi-Fi 6E,PCIe x1,Black / Silver
Asus PCE-AX3000,34.99,Wi-Fi 6,PCIe x1,Black
Intel AX200,20.99,Wi-Fi 6,M.2,
TP-Link TL-WN881ND,14.99,Wi-Fi 4,PCIe x1,
Asus PCE-BE92BT,89.99,Wi-Fi 7,PCIe x1,Black
Asus PCE-AC68,49,Wi-Fi 5,PCIe x1,
EDUP EP-9651GS,29.5,Wi-Fi 6E,PCIe x1,Black
TP-Link Archer TX3000E,37.47,Wi-Fi 6,PCIe x1,Red / Black
Asus PCE-AC88,139,Wi-Fi 5,PCIe x1,
TP-Link ARCHER T2U PLUS,16.98,Wi-Fi 5,USB Type-A 2.0,Black
MSI HERALD-BE NCM865 WI-FI 7,49,Wi-Fi 7,PCIe x1,Black
TP-Link Archer TX55E,44.99,Wi-Fi 6,PCIe x1,
Gigabyte GC-WBAX200,34.99,Wi-Fi 6,PCIe x1,Black / Silver
TP-Link Archer TX50E,51.96,Wi-Fi 6,PCIe x1,Black
TP-Link ARCHER T2E,14.97,Wi-Fi 5,PCIe x1,
Asus PCE-AX1800,29.99,Wi-Fi 6,PCIe x1,Black
EDUP EP-9651,27.99,Wi-Fi 6E,PCIe x1,Blue / Black
TP-Link Archer T4E,19.98,Wi-Fi 5,PCIe x1,
TP-Link TL-WN725N,9.99,Wi-Fi 4,USB Type-A 2.0,
TP-Link Archer T3U Plus,19.97,Wi-Fi 5,USB Type-A 3.2 Gen 1,
TRENDnet TEW-648UBM,6.99,Wi-Fi 4,USB Type-A 2.0,
EDUP EP-9636GS-BL,26.95,Wi-Fi 6,PCIe x1,Black
TP-Link ArcherTX20E,29.99,Wi-Fi 6,PCIe x1,Black
Asus USB-AC53 NANO,17.8,Wi-Fi 5,USB Type-A 2.0,
Ziyituod ZYT-AX210S,,Wi-Fi 6E,PCIe x1,Red
Netgear Nighthawk AXE3000,73.28,Wi-Fi 6E,USB Type-A 3.2 Gen 1,Black
Intel AX200.NGWG.NV,22.22,Wi-Fi 6,M.2,
Asus PCE-AXE5400,49.99,Wi-Fi 6E,PCIe x1,Black
Asus PCE-AC55BT B1,45,Wi-Fi 5,PCIe x1,
TRENDnet TEW-684UB,39.99,Wi-Fi 4,USB Type-A 2.0,
Asus PCE-AXE58BT,59.99,Wi-Fi 6E,PCIe x1,Black / Gold
TP-Link TL-WDN4800,100.77,Wi-Fi 4,PCIe x1,
TP-Link Archer TXE75E,54.99,Wi-Fi 6E,PCIe x1,
Gigabyte GC-WB1733D-I,28.69,Wi-Fi 5,PCIe x1,Black
TP-Link Archer T5E,26.98,Wi-Fi 5,PCIe x1,Black
TP-Link Archer TXE72E,44.99,Wi-Fi 6E,PCIe x1,
TP-Link Archer TX20U plus,34.99,Wi-Fi 6,USB Type-A 3.2 Gen 1,
TP-Link TL-WN781ND,16.98,Wi-Fi 4,PCIe x1,
Asus PCE-AC56,34.99,Wi-Fi 5,PCIe x1,
TP-Link Archer T9E,,Wi-Fi 5,PCIe x1,
Intel Killer AX1675,43.99,Wi-Fi 6E,PCIe x1,
Rosewill RNX-N250PCe,11.63,Wi-Fi 4,PCIe x1,
Asus PCE-AX58BT,44.99,Wi-Fi 6,PCIe x1,Black
Asus USB-AX55 Nano,38.17,Wi-Fi 6,USB Type-A 2.0,Black
Intel 62205ANHMWDTX1,99.95,Wi-Fi 4,PCIe x1,
TP-Link Archer T6E AC1300,62.3,Wi-Fi 5,PCIe x1,
TP-Link Archer T3U,22.99,Wi-Fi 5,USB Type-A 3.2 Gen 1,Black
Netgear Nighthawk AC1900 A7000-10000S,96,Wi-Fi 5,USB Type-A 3.2 Gen 1,Black
TP-Link Archer T2UB Nano,17.98,Wi-Fi 5,USB Type-A 2.0,Black
TP-Link Archer T4U Plus,23.99,Wi-Fi 5,USB Type-A 3.2 Gen 1,
Ubit AX210,,Wi-Fi 6E,PCIe x1,Black
Ziyituod ZYT-AX200,,Wi-Fi 6,PCIe x1,Green
Asus PCE-AXE59BT,54.99,Wi-Fi 6E,PCIe x1,Black
Gigabyte GC-WB867D-I,,Wi-Fi 5,PCIe x1,
Intel AX210 w/vPro,24.19,Wi-Fi 6E,M.2 PCIe,Green
TP-Link Archer T2U Nano,12.99,Wi-Fi 4,USB Type-A 2.0,Black / Gold
