name,price,bd,dvd,cd,bd_write,dvd_write,cd_write
LG WH14NS40,54.99,12,16,48,14/12/2/2,16/8/8/16/6/8/5,48/24
Asus DRW-24B1ST/BLK/B/AS,22.99,,16,48,,24/8/12/24/6/12/12,48/32
LG WH16NS40,64.98,12,16,48,16/12/2/2,16/8/8/16/6/8/5,48/24
Asus DRW-24F1ST,21.99,,16,48,,24/8/8/24/6/8/5,48/24
Asus BC-12D2HT,92.22,,,,12/8/8/6,16/8/8/6/12/8/5,48/24
Asus BW-16D1HT,97.3,12,16,48,16/12/2/2,16/8/8/16/6/8/5,48/24
Pioneer BDC-207DBK,182.36,8,16,40,,16/8/8/16/6/8/5,40/24
Pioneer BDR-2209,109.99,12,16,40,16/14/2/2,16/6/8/16/6/8/5,40/24
LG GH24NSD5,34.01,,16,48,,24/8/12/8/6/12/12,48/24
Pioneer BDR-212DBK,83.95,,,,16/14/2/2,16/8/8/16/6/8/5,40/24
Asus DRW-24D5MT,47.38,,16,48,,16/13/12/16/8/12/5,48/40
LG BH16NS55.AUAR10B,109.86,,,40,8/8/8/6,16/12/12/16/12/12/5,48/40
Panasonic UJ-265,122.02,6,8,24,6/6/-/-,8/8/6/8/8/6/-,24/16
Lite-On iHAS124-14,24.25,,16,48,,24/8/8/24/6/8/5,48/24
Pioneer BDR-211UBK,,12,16,40,16/14/2/2,16/8/8/16/6/8/5,40/24
Pioneer BDR-209DBK,99.99,12,16,40,16/14/2/2,16/8/8/16/6/8/-,40/24
LG GH24NSD1,,,16,48,,24/8/16/24/6/12/12,48/32
LG WH16NS60,,,,,16/12/-/-,-/-/-/-/-/-/5,48/24
LG BU40N,94.95,,,,6/6/2/6,8/8/6/8/6/6/5,24/16
LG BH16NS40,67.99,12,16,48,16/12/2/-,16/8/8/16/6/8/5,48/24
Asus DRW-24B3ST/BLK/G/AS,24.99,,16,48,,24/8/12/24/6/12/12,48/24
Silverstone TOB04,148.88,6,8,24,6/6/6/4,8/8/8/8/8/8/8,24/24
Samsung SH-224DB/BEBE,99.99,,16,48,,24/8/8/24/6/8/12,48/24
Asus BW-12B1ST/BLK/G/AS,,8,16,48,12/4/2/2,16/8/8/16/6/8/12,48/24
